SALDO ANTERIOR|6409.23
01-07-2026|747685|VISANET AF:087972000|1479.85|7889.08
02-07-2026|80504|VISANET AF:087972000|3501.18|11390.26
02-07-2026|472320|VISANET AF:087972000|2917.47|14307.73
02-07-2026|173388|LA TORRE ANTIGUA 3 DB GT|312.25|13995.48
02-07-2026|253750|AVICOLA VILLALOBOS GT|592.16|13403.32
04-07-2026|34083|VISANET AF:087972000|5967.01|19370.33
04-07-2026|662010|VISANET AF:087972000|6777.92|26148.25
05-07-2026|227531|VISANET AF:087972000|140.92|26289.17
06-07-2026|603144|VISANET AF:087972000|1779.25|28068.42
06-07-2026|112761|LA TORRE ANTIGUA 2 DB GT|378.40|27690.02
06-07-2026|127122|DISTRIBUIDORA DE LICOR GT|109.10|27580.92
06-07-2026|159328|LA BODEGONA ANTIGUA GT|35.70|27545.22
06-07-2026|166373|FERRETERIA ESPANA GT|105.00|27440.22
06-07-2026|198177|Bono 14 Jose|5000.00|22440.22
06-07-2026|198179|Bono 14 Jeffry|5000.00|17440.22
06-07-2026|198181|Bono 14 Nadia|4000.00|13440.22
06-07-2026|198182|Bono 14 Efrain|4000.00|9440.22
06-07-2026|198193|S26 Fernanda|800.00|8640.22
06-07-2026|198195|S26 Andre|100.00|8540.22
06-07-2026|227169|TABLE SOLUTIONS GT|161.10|8379.12
06-07-2026|227436|LA BODEGONA ANTIGUA GT|139.10|8240.02
06-07-2026|232357|S26 Marvin|750.00|7490.02
06-07-2026|232360|S26 Eddy|600.00|6890.02
06-07-2026|232374|S26 Melvin|300.00|6590.02
07-07-2026|795477|VISANET AF:087972000|271.39|6861.41
07-07-2026|3662|ATM 095 AGENCIA RECOLECCION ANTIGUA|2000.00|4861.41
08-07-2026|377651|VISANET AF:087972000|73.07|4934.48
08-07-2026|164576|PARMA VEL GT|408.75|4525.73
09-07-2026|79808|VISANET AF:087972000|4985.19|9510.92
09-07-2026|192990|LA BODEGONA ANTIGUA GT|113.60|9397.32
10-07-2026|220228|DIST LA NUEVA NARANJO GT|170.00|9227.32
11-07-2026|810222|VISANET AF:087972000|3785.67|13012.99
11-07-2026|9001|ATM 095 AGENCIA RECOLECCION ANTIGUA|2000.00|11012.99
12-07-2026|163133|VISANET AF:087972000|13330.01|24343.00
12-07-2026|407090|VISANET AF:087972000|5255.24|29598.24
13-07-2026|512872|VISANET AF:087972000|569.36|30167.60
13-07-2026|1407|ATM 095 AGENCIA RECOLECCION ANTIGUA|2000.00|28167.60
